PERMIT_NUM,STRUCTURE_TYPE,ADDRESS,City,Country,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,RESIDENTIAL
14 160629 BLD,Townhouses,"261 MORRISH RD   Toronto, Ontario, Canada",Toronto,Canada,2014-05-23,2014-07-29,2015-05-01,Closed,"Build new 2 storey town house on existing foundation. Existing townhouse was applied for under fire damage permit.
",Townhouse,Townhouse,1,0,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,169.99
07 243049 BLD,Townhouses,"210 FINCH AVE W Toronto, Ontario, Canada",Toronto,Canada,2007-07-13,2007-09-25,2014-07-14,Closed,Three storey 8 unit free hold townhouse.,Vacant,8 Unit Townhouse,1,0,"1,600,00",0,190
07 243052 BLD,Townhouses,"210 FINCH AVE W Toronto, Ontario, Canada",Toronto,Canada,2007-07-13,2007-09-25,2014-07-14,Closed,Three storey 8 unit free hold townhouse.,Vacant,8 Unit Townhouse,1,0,"1,600,00",0,190
07 243057 BLD,Townhouses,"210 FINCH AVE W Toronto, Ontario, Canada",Toronto,Canada,2007-07-13,2007-09-25,2014-07-14,Closed,Two storey 8 unit free hold townhouse.,Vacant,8 Unit Townhouse,1,0,"1,600,00",0,190
10 136882 BLD,Apartment Building,"50 ST JOSEPH ST   Toronto, Ontario, Canada",Toronto,Canada,2010-03-23,2010-12-17,2018-10-30,Closed,"Proposal to construct 2 condo towers (45 sty and 55 sty) on a 3 sty townhouse podium, 5 levels of below grade parking, and 985 residential units.  See folder for Heritage approval for a adjacent building, Final & Binding, and Site Plan approval.  Also see folder for list of new addresses.",Vacant,Condo With Townhouses,985,0,"200,000,000",0,94072
10 259977 BLD,Apartment Building,"386 YONGE ST   Toronto, Ontario, Canada",Toronto,Canada,2010-09-17,2011-12-23,2016-05-24,Closed,"PHASE 2 - LOWER TOWER (AURA AT COLLEGE PARK) - Proposal to construct floors 5-54 for new condo over podium 777 Dwelling unts and 3 Guest Suites (SEE BLD 08 196702).  Note - see active BLD permit 08 117483, FSU 10 165868, PODIUM 08 196702, and PHASE 3 (UPPER TOWER).  386 YONGE ST.",Vacant (See Actiev Bld Permits),Condo (Also See Phase 1 & 3),780,0,"150,000,000",0,68470
10 260004 BLD,Apartment Building,"388 YONGE ST   Toronto, Ontario, Canada",Toronto,Canada,2010-09-17,2011-12-23,2016-05-24,Closed,"PHASE 3 - UPPER TOWER (AURA AT COLLEGE PARK) - Proposal to construct floors 55-75 for new condo over podium 157 Dwelling units (SEE BLD 08 196702).  Note - see active BLD permit 08 117483, FSU 10 165868, PODIUM 08 196702), and PHASE 2 (LOWER TOWER).",Vacant (See Actiev Bld Permits),Condo (Also See Phase 1 & 2),157,0,"150,000,000",0,23037
12 129679 BLD,Apartment Building,"36 PARK LAWN RD   Toronto, Ontario, Canada",Toronto,Canada,2012-02-29,2015-11-02,2016-11-16,Closed,Construction of 44 storey apartment building with 421 residential dwelling units plus 1 guest suite total 422 units.,Vacant Industrial Print Shop,Residential Condo,422,0,"88,650,000",1666,37366
12 260361 BLD,Apartment Building,"88 SHEPPARD AVE E Toronto, Ontario, Canada",Toronto,Canada,2012-10-10,2014-05-21,2016-08-22,Closed,"34 storey residential apartment building with green roofs above the two and four storey residential portions, 359 dwelling units, linked (mechanically and electrically) with 2 blocks of three storey residential townhouses containing a total of 16 dwelling units all above three levels of underground parking",Surface Parking Lot/Existing Commercial Bldg,"Apartment Bldg & Townhouses, Existing Commercial Bldg",359,0,"75,000,000",736.51,29898.07
10 141286 BLD,Apartment Building,"50 TOWN CENTRE CRT   Toronto, Ontario, Canada",Toronto,Canada,2010-03-29,2012-03-21,2015-05-12,Closed,To construct a new 39 storey residential condominium tower with 403 units and 340 parking spaces,Vacant Land,Rersidential Condo,405,0,"65,000,000",0,31466.96
11 289993 BLD,Apartment Building,"3180 BATHURST ST   Toronto, Ontario, Canada",Toronto,Canada,2011-10-11,2013-05-28,2014-11-25,Closed,"May 28/13 picked up by Adnan Ashhmi (mg)
 DO NOT ISSUE THIS PERMIT UNTIL SECTION 37 MATTERS HAVE BEEN CLARIFIED/DIANE DAMIANO. DD APRIL 12/13. Clear permit with Ted before issuing permit April 19, 2013.
13 storey apartment building with 343 suites with three levels of underground parking linked together at parking level one to existing church ",Vacant,Apartment Building,343,0,"57,500,000",0,28325.96
10 140287 BLD,Apartment Building,"38 GRAND MAGAZINE ST   Toronto, Ontario, Canada",Toronto,Canada,2010-03-26,2015-03-06,2015-07-26,Closed,"Proposal to construct 2 condo towers (17sty and 15 sty), 2 sty link podium, 3 levels of below grade parking, and 502 dwelling units.  See Site Plan 10 139880.  NOTE: New address - 38 Grand Magazine St.",Vacant,Condo,506,0,"54,400,000",0,38857
11 329200 BLD,Apartment Building,"18 GRAYDON HALL DR   Toronto, Ontario, Canada",Toronto,Canada,2011-12-21,2014-07-02,2018-07-20,Closed,Devonshire Properties Inc 25 storey above established grade condominium with 4 levels of below grade parking.,Vacant,Condominium,312,0,"54,400,000",464.06,24615.24
11 330573 BLD,Apartment Building,"43502 EVA RD   Toronto, Ontario, Canada",Toronto,Canada,2011-12-23,2013-03-11,2014-09-04,Closed,"proposed 30 storey, 280 suites and four levels of underground parking in Building B. (PHASE 1)",Vacant,Condom Residential,280,0,"50,000,000",550,22280.5
03 164601 BLD,Apartment Building,"45 BAY ST   Toronto, Ontario, Canada",Toronto,Canada,2003-08-08,2005-08-09,2015-12-03,Closed,Construct new 39 storey condominium building (493 units) with commercial space on ground floor; 4 levels of above grade parking & 2 levels of below grade parking; includes mechanical penthouse.  See C of A Decision file #A0185/02TEY.  Site Plan application #SPA 301053.   refer to excavation & shoring*,,,,,"50,000,000",0,0
